order,source,category,status,audience,purpose
1,01_01_client_and_02_insurance_agent_and_04_admin_GK_RF_Chapter_48_selected_current.pdf,normative,active,insurance_agent,Договор страхования
2,01_02_client_and_02_insurance_agent_and_04_admin_Law_4015-1_selected_current.pdf,normative,active,insurance_agent,Организация страхового дела
3,01_03_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Insurance_Operations_2026.pdf,regulatory,active,insurance_agent,Совершение страховых операций
4,01_04_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Consumer_Rights_2024.pdf,regulatory,active,insurance_agent,Защита прав получателей услуг
5,01_05_client_and_02_insurance_agent_and_04_admin_Consumer_Law_2300-1_selected_current.pdf,normative,active,insurance_agent,Права потребителя
6,01_06_client_and_02_insurance_agent_and_04_admin_Financial_Ombudsman_123-FZ_selected_current.pdf,normative,active,insurance_agent,Финансовый уполномоченный
7,01_07_client_and_02_insurance_agent_and_04_admin_Personal_Data_152-FZ_selected_current.pdf,normative,active,insurance_agent,Согласие и персональные данные
8,02_agent_internal_01_01_life_policy.pdf,internal_product,active,insurance_agent,Жизнь Плюс
9,02_agent_internal_02_02_property_policy.pdf,internal_product,active,insurance_agent,Дом и Квартира
10,02_agent_internal_03_03_auto_travel_health.pdf,internal_product,active,insurance_agent,КАСКО ДМС и туризм
11,02_agent_internal_04_04_agent_playbook.pdf,internal_procedure,active,insurance_agent,Playbook и pre-submit checklist
12,02_agent_internal_05_05_sales_objections.pdf,internal_procedure,active,insurance_agent,Скрипты продаж и возражения
13,02_agent_internal_06_06_funeral_agent.pdf,internal_product,active,insurance_agent,Похоронное страхование
14,02_agent_internal_07_07_call_email_followups.pdf,internal_procedure,active,insurance_agent,Звонки email и follow-up
