SEX,INSR_TYPE,TYPE_VEHICLE,MAKE,USAGE,PREMIUM,CLAIM_PAID,has_claim,INSURED_VALUE,PROD_YEAR,SEATS_NUM,CCM_TON,CARRYING_CAPACITY,EFFECTIVE_YR,policy_days,vehicle_age,log_insured,log_ccm,value_per_seat,ccm_per_seat,eff_yr,carry_miss,TYPE_USAGE,MAKE_TYPE,MAKE_USAGE
0,1201,Automobile,HYUNDAI,Private,3581.56,,0,280000.0,2010.0,4.0,1200.0,0.0,12,364,6.0,12.54254845357358,7.0909098220799835,70000.0,300.0,12.0,1,Automobile_Private,HYUNDAI_Automobile,HYUNDAI_Private
0,1202,Truck,DAEWOO,Own Goods,5130.15,,0,80000.0,2002.0,4.0,0.0,401.0,11,364,15.0,11.289794413577894,0.0,20000.0,0.0,11.0,0,Truck_Own Goods,DAEWOO_Truck,DAEWOO_Own Goods
0,1201,Motor-cycle,BMW,Private,329.11,,0,12500.0,2008.0,1.0,0.0,0.0,58,364,9.0,9.433563920090563,0.0,12500.0,0.0,58.0,1,Motor-cycle_Private,BMW_Motor-cycle,BMW_Private
1,1202,Truck,ISUZU,General Cartage,18830.87,,0,670000.0,2005.0,2.0,8226.0,0.0,09,365,10.0,13.415034483903348,9.01517670716893,335000.0,4113.0,9.0,0,Truck_General Cartage,ISUZU_Truck,ISUZU_General Cartage
0,1202,Special construction,INTERNATIONAL USE,Own service,12725.18,,0,914000.0,2012.0,6.0,0.0,0.0,11,364,2.0,13.725586944527592,0.0,152333.33333333334,0.0,11.0,0,Special construction_Own service,INTERNATIONAL USE_Special construction,INTERNATIONAL USE_Own service
2,1202,Truck,ISUZU,General Cartage,10853.25,,0,1000000.0,2003.0,2.0,8226.0,0.0,12,183,14.0,13.815511557963774,9.01517670716893,500000.0,4113.0,12.0,0,Truck_General Cartage,ISUZU_Truck,ISUZU_General Cartage
1,1202,Truck,ISUZU,General Cartage,28600.72,,0,1100000.0,2010.0,2.0,8226.0,0.0,21,364,4.0,13.910821646859095,9.01517670716893,550000.0,4113.0,21.0,0,Truck_General Cartage,ISUZU_Truck,ISUZU_General Cartage
0,1202,Pick-up,TOYOTA,Own Goods,13677.39,,0,940000.0,1990.0,2.0,4164.0,10.0,11,364,27.0,13.753636218075409,8.334471554600944,470000.0,2082.0,11.0,0,Pick-up_Own Goods,TOYOTA_Pick-up,TOYOTA_Own Goods
2,1202,Truck,IVECO,General Cartage,28038.34,,0,2000000.0,2010.0,1.0,12800.0,154.3,13,364,7.0,14.508658238524095,9.45727857185611,2000000.0,12800.0,13.0,0,Truck_General Cartage,IVECO_Truck,IVECO_General Cartage
1,1201,Automobile,TOYOTA,Private,1844.78,,0,160000.0,1990.0,4.0,1295.0,0.0,03,364,25.0,11.982935344196433,7.16703787691222,40000.0,323.75,3.0,1,Automobile_Private,TOYOTA_Automobile,TOYOTA_Private
0,1201,Station Wagones,NISSAN,Private,7652.25,172300.0,1,500000.0,2003.0,8.0,4164.0,2.0,12,365,12.0,13.122365377402328,8.334471554600944,62500.0,520.5,12.0,1,Station Wagones_Private,NISSAN_Station Wagones,NISSAN_Private
2,1201,Automobile,TOYOTA,Private,3512.39,,0,170000.0,1985.0,4.0,1295.0,0.0,11,365,30.0,12.04355959836804,7.16703787691222,42500.0,323.75,11.0,1,Automobile_Private,TOYOTA_Automobile,TOYOTA_Private
0,1202,Pick-up,TOYOTA,Own Goods,8443.41,,0,500000.0,2011.0,1.0,4164.0,10.0,13,364,3.0,13.122365377402328,8.334471554600944,500000.0,4164.0,13.0,0,Pick-up_Own Goods,TOYOTA_Pick-up,TOYOTA_Own Goods
0,1201,Station Wagones,TOYOTA,Private,31799.6,,0,2800000.0,2010.0,7.0,4461.0,2.0,83,364,7.0,14.845130332288226,8.403352374992478,400000.0,637.2857142857143,83.0,1,Station Wagones_Private,TOYOTA_Station Wagones,TOYOTA_Private
1,1202,Trailers and semitrailers,MESFIN,General Cartage,8595.88,,0,400000.0,2005.0,0.0,0.0,225.1,12,364,9.0,12.899222326086994,0.0,,,12.0,0,Trailers and semitrailers_General Cartage,MESFIN_Trailers and semitrailers,MESFIN_General Cartage
0,1202,Trailers and semitrailers,RANDON,General Cartage,3761.31,,0,450000.0,1993.0,0.0,0.0,144.0,85,364,21.0,13.017005083966255,0.0,,,85.0,0,Trailers and semitrailers_General Cartage,RANDON_Trailers and semitrailers,RANDON_General Cartage
0,1202,Truck,NISSAN,Own Goods,7764.8,,0,500000.0,1996.0,1.0,12503.0,136.0,12,364,18.0,13.122365377402328,9.433803872101313,500000.0,12503.0,12.0,0,Truck_Own Goods,NISSAN_Truck,NISSAN_Own Goods
1,1201,Automobile,TOYOTA,Private,3093.25,,0,250000.0,1991.0,4.0,1295.0,0.0,11,364,26.0,12.429220196836383,7.16703787691222,62500.0,323.75,11.0,1,Automobile_Private,TOYOTA_Automobile,TOYOTA_Private
0,1202,Pick-up,FORD,Own Goods,4454.4,,0,350000.0,2001.0,4.0,2892.0,5.0,11,364,16.0,12.765691290604371,7.970049304976135,87500.0,723.0,11.0,0,Pick-up_Own Goods,FORD_Pick-up,FORD_Own Goods
0,1202,Truck,DAEWOO,Own Goods,11147.62,,0,2141832.45,2011.0,1.0,11051.0,165.0,80,364,6.0,14.577172772531691,9.310366686043308,2141832.45,11051.0,80.0,0,Truck_Own Goods,DAEWOO_Truck,DAEWOO_Own Goods
0,1202,Pick-up,MITSUBISHI,Own Goods,3952.87,,0,500000.0,2006.0,4.0,2835.0,6.0,11,365,9.0,13.122365377402328,7.950149887652018,125000.0,708.75,11.0,0,Pick-up_Own Goods,MITSUBISHI_Pick-up,MITSUBISHI_Own Goods
0,1201,Station Wagones,TOYOTA,Private,5574.25,,0,620000.0,1999.0,8.0,4164.0,2.0,17,364,18.0,13.3374763699232,8.334471554600944,77500.0,520.5,17.0,1,Station Wagones_Private,TOYOTA_Station Wagones,TOYOTA_Private
0,1201,Automobile,LIFAN,Private,5082.76,5217.38,1,350000.0,2011.0,4.0,1300.0,0.0,15,364,6.0,12.765691290604371,7.170888478512505,87500.0,325.0,15.0,0,Automobile_Private,LIFAN_Automobile,LIFAN_Private
0,1202,Bus,TOYOTA,Own service,4401.98,,0,229375.0,2011.0,11.0,2985.0,11.0,11,364,3.0,12.343117857454493,8.001689978099135,20852.272727272728,271.3636363636364,11.0,0,Bus_Own service,TOYOTA_Bus,TOYOTA_Own service
0,1202,Pick-up,FORD,Own Goods,4563.1,1381.38,1,558000.01,2010.0,1.0,2499.0,10.0,28,365,5.0,13.232116051397652,7.824046010856292,558000.01,2499.0,28.0,0,Pick-up_Own Goods,FORD_Pick-up,FORD_Own Goods
0,1202,Truck,FORD,Own Goods,15901.55,,0,1000000.0,2000.0,2.0,12500.0,401.0,01,364,16.0,13.815511557963774,9.433563920090563,500000.0,6250.0,1.0,0,Truck_Own Goods,FORD_Truck,FORD_Own Goods
1,1202,Truck,IVECO,General Cartage,10217.19,,0,450000.0,2006.0,1.0,13798.0,220.0,15,364,11.0,13.017005083966255,9.532351404751555,450000.0,13798.0,15.0,0,Truck_General Cartage,IVECO_Truck,IVECO_General Cartage
0,1202,Truck,NISSAN,General Cartage,31362.57,,0,2100000.0,2004.0,1.0,12503.0,152.0,85,364,10.0,14.557448378884015,9.433803872101313,2100000.0,12503.0,85.0,0,Truck_General Cartage,NISSAN_Truck,NISSAN_General Cartage
1,1202,Truck,SINO HOWO,General Cartage,29217.09,,0,1300000.0,2012.0,1.0,9726.0,135.0,12,364,5.0,14.077875591662238,9.18266080286944,1300000.0,9726.0,12.0,0,Truck_General Cartage,SINO HOWO_Truck,SINO HOWO_General Cartage
0,1202,Pick-up,FORD,Own Goods,2985.72,,0,330435.0,2006.0,4.0,2892.0,7.0,05,364,10.0,12.70816827353115,7.970049304976135,82608.75,723.0,5.0,0,Pick-up_Own Goods,FORD_Pick-up,FORD_Own Goods
0,1201,Automobile,TOYOTA,Private,898.5,,0,3984758.0,2013.0,7.0,4461.0,0.0,13,365,2.0,15.197987391589702,8.403352374992478,569251.1428571428,637.2857142857143,13.0,1,Automobile_Private,TOYOTA_Automobile,TOYOTA_Private
