order,source,category,status,audience,purpose
1,01_01_client_and_02_insurance_agent_and_04_admin_GK_RF_Chapter_48_selected_current.pdf,normative,active,admin,Договор страхования
2,01_02_client_and_02_insurance_agent_and_04_admin_Law_4015-1_selected_current.pdf,normative,active,admin,Организация страхового дела
3,01_03_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Insurance_Operations_2026.pdf,regulatory,active,admin,Контроль страховых операций
4,01_04_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Consumer_Rights_2024.pdf,regulatory,active,admin,Контроль прав получателей услуг
5,01_05_client_and_02_insurance_agent_and_04_admin_Consumer_Law_2300-1_selected_current.pdf,normative,active,admin,Права потребителей
6,01_06_client_and_02_insurance_agent_and_04_admin_Financial_Ombudsman_123-FZ_selected_current.pdf,normative,active,admin,Досудебные обращения
7,01_07_client_and_02_insurance_agent_and_04_admin_Personal_Data_152-FZ_selected_current.pdf,normative,active,admin,Персональные данные
8,04_01_admin_CBR_757-P_base_2021_official.pdf,regulatory,active,admin,Информационная безопасность финансовой организации
9,04_03_admin_RF_Government_1119_Personal_Data_Protection.pdf,regulatory,active,admin,Защита персональных данных в ИСПДн
10,04_04_admin_FSTEC_Order_21_current_2020.pdf,regulatory,active,admin,Организационные и технические меры защиты
11,04_admin_Razrabotchik_IT_GOST_R_42001-2024.pdf,standard,active,admin,Система менеджмента ИИ
12,04_admin_Razrabotchik_IT_GOST_R_71476-2024.pdf,standard,active,admin,Термины и понятия ИИ
13,04_admin_Razrabotchik_IT_GOST_R_71539-2024.pdf,standard,active,admin,Жизненный цикл ИИ-систем
14,04_admin_Razrabotchik_IT_GOST_R_71540-2024.pdf,standard,active,admin,Архитектура инженерии знаний
15,04_admin_internal_01_01_access_audit_and_incidents.pdf,internal_procedure,active,admin,Доступ аудит и инциденты
16,04_admin_internal_02_02_ai_rag_governance.pdf,internal_procedure,active,admin,Управление жизненным циклом RAG
17,reference_future/04_02_admin_CBR_7219-U_amendments_to_757-P_published_2026_effective_2027.pdf,regulatory,future_reference,admin,Будущие изменения не включены в активный индекс
