order,source,category,status,audience,purpose
1,"01_01_client_and_02_insurance_agent_and_04_admin_GK_RF_Chapter_48_selected_current.pdf",normative,active,legal,"Договор страхования"
2,"01_02_client_and_02_insurance_agent_and_04_admin_Law_4015-1_selected_current.pdf",normative,active,legal,"Организация страхового дела"
3,"01_03_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Insurance_Operations_2026.pdf",regulatory,active,legal,"Совершение страховых операций"
4,"01_04_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Consumer_Rights_2024.pdf",regulatory,active,legal,"Защита прав получателей услуг"
5,"01_05_client_and_02_insurance_agent_and_04_admin_Consumer_Law_2300-1_selected_current.pdf",normative,active,legal,"Права потребителя"
6,"01_06_client_and_02_insurance_agent_and_04_admin_Financial_Ombudsman_123-FZ_selected_current.pdf",normative,active,legal,"Досудебное урегулирование"
7,"01_07_client_and_02_insurance_agent_and_04_admin_Personal_Data_152-FZ_selected_current.pdf",normative,active,legal,"Персональные данные"
8,"legal_gpkodeksrf.pdf",procedural,active,legal,"Гражданское судопроизводство"
9,"legal_apk.pdf",procedural,active,legal,"Арбитражное судопроизводство"
10,"legal_Федеральный закон от 25.04.2002 N 40-ФЗ (ред. от 31.07.2025, с изм. от 26.05.2026) _Об обязательном страховании .pdf",normative,active,legal,"ОСАГО"
11,"underwr_Пленум_ВС_РФ_08-11-2022_N31_ОСАГО.pdf",judicial,active,legal,"Судебное толкование ОСАГО"
12,"underwriter_КоАП РФ Ст. 14.8.pdf",normative,active,legal,"Нарушение прав потребителей"
13,"underwriter_КоАП РФ Ст. 15.34.1.pdf",normative,active,legal,"Отказ в публичном страховании"
14,"underwriter_КоАП РФ Ст. 15.34.pdf",normative,active,legal,"Нарушение страхового законодательства"
15,"06_legal_internal_01_01_pi_claims_policy.pdf",internal_procedure,active,legal,"PI-претензии"
16,"06_legal_internal_02_02_imr_appeals_guide.pdf",internal_procedure,active,legal,"IMR-апелляции"
17,"06_legal_internal_03_03_claims_intake.pdf",internal_procedure,active,legal,"Первичный приём претензий"
18,"06_legal_internal_04_04_nda_notes.pdf",internal_procedure,active,legal,"NDA и конфиденциальность"
