territory,gender,birthdate,ypc,current_premium,indicated_premium,selected_premium,underlying_premium,fixed_expenses,underlying_total_premium,cgr_factor,cgr
601,M,10/5/1947,0,863.97,830.58,862.57,673.06,175.98,849.04,1.02,ZHK
601,F,7/6/1953,0,828.63,611.14,826.43,612.75,175.98,788.73,1.06,6NS
601,M,4/18/1956,0,1000.59,593.99,996.60,858.20,175.98,1034.18,0.96,Z2D
601,F,8/16/1956,0,700.42,547.95,697.84,571.49,180.48,751.97,0.91,D7G
601,F,1/23/1957,0,505.92,448.33,504.56,333.71,152.08,485.79,1.06,3YN
601,F,12/31/1960,0,1674.34,932.74,1671.47,1505.90,180.48,1686.38,0.99,Z20
601,M,2/26/1963,0,1266.17,1559.70,1325.15,1050.25,147.58,1197.83,1.12,I85
601,F,7/31/1963,0,733.96,696.11,733.18,554.41,147.58,701.99,1.06,3YN
601,M,12/5/1964,0,1671.38,1446.35,1666.67,1448.58,128.97,1577.55,1.06,6NS
601,F,7/4/1966,0,655.97,697.31,688.63,497.17,147.58,644.75,1.09,7O9
601,F,12/30/1968,0,804.14,558.62,802.06,691.58,175.98,867.56,0.91,D7G
601,F,3/14/1973,0,1819.68,1264.25,1812.67,1568.59,147.58,1716.17,1.06,6NS
601,F,10/9/1975,0,756.60,1619.37,792.87,612.48,168.08,780.56,1.02,ZHK
601,F,12/31/1977,0,567.54,363.27,566.48,457.75,152.08,609.83,0.91,D7G
601,F,8/28/1978,0,688.33,796.21,722.04,509.80,147.58,657.38,1.13,2DQ
601,M,5/14/1979,0,1658.50,2541.83,1736.42,1464.95,204.38,1669.33,1.05,DGY
601,M,8/4/1979,0,918.50,887.57,915.71,736.32,137.97,874.29,1.06,3YN
601,M,4/30/1980,0,421.66,526.08,441.90,301.73,147.58,449.31,0.98,KON
601,F,2/9/1981,0,1358.08,1732.68,1424.81,1269.98,204.38,1474.36,0.96,MPY
601,M,7/2/1981,0,969.79,962.99,966.58,806.87,147.58,954.45,1.02,YNG
601,F,7/27/1983,0,1481.24,1013.34,1479.97,1435.63,147.58,1583.21,0.93,AUR
601,M,10/3/1984,0,2105.59,2408.19,2208.83,1897.61,81.17,1978.78,1.12,I85
601,F,4/7/1985,0,2047.48,1900.38,2042.61,1772.49,161.08,1933.57,1.06,6NS
601,F,11/1/1987,0,1216.75,1773.90,1276.35,955.31,199.88,1155.19,1.13,2DQ
601,M,1/15/1988,0,2243.20,2017.01,2236.09,2307.01,147.58,2454.59,0.91,D7G
601,M,7/30/1959,1,774.01,828.27,809.67,587.57,147.58,735.15,1.13,2DQ
601,M,11/10/1959,1,961.67,705.35,959.44,773.86,137.97,911.83,1.06,6NS
601,M,4/11/1961,1,827.87,554.90,825.61,719.25,174.48,893.73,0.91,D7G
601,F,6/22/1963,1,2593.80,1853.90,2584.89,2319.00,219.28,2538.28,1.02,ZHK
601,M,11/17/1964,1,1063.81,1392.35,1115.76,893.38,114.07,1007.45,1.12,I85
601,M,2/26/1965,1,1078.58,1156.60,1128.19,938.47,81.17,1019.64,1.12,IE8
601,F,2/18/1966,1,3305.26,1934.16,3296.10,3463.01,161.08,3624.09,0.91,D7G
601,F,4/9/1966,1,2691.97,3421.82,3223.92,2789.95,157.37,2947.32,1.10,1AC
601,M,11/18/1966,1,1161.54,1212.21,1210.15,1050.99,184.98,1235.97,0.98,KON
601,M,2/29/1968,1,1373.74,921.88,1372.79,1127.45,175.98,1303.43,1.06,6NS
601,F,4/19/1968,1,627.08,508.16,625.79,523.27,152.08,675.35,0.91,D7G
601,F,7/8/1969,1,1620.27,1623.24,1625.52,1594.86,137.97,1732.83,0.93,QHK
601,M,8/4/1969,1,1429.48,1181.21,1428.86,1377.09,175.98,1553.07,0.91,JRZ
601,M,1/3/1970,1,1340.40,944.41,1339.78,1168.71,147.58,1316.29,1.02,ZHK
601,M,9/12/1970,1,463.49,490.11,486.54,342.88,152.08,494.96,0.98,KON
601,F,10/20/1972,1,1033.78,834.36,1032.76,833.88,147.58,981.46,1.06,6NS
601,M,11/15/1974,1,5642.17,4782.68,5631.90,5980.82,81.17,6061.99,0.93,AUR
