months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,auto_year,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,auto_make,fraud_reported
328,48,1000,1406.91,0,53300,0,5,1,1,2,2004,OH,250/500,MALE,MD,craft-repair,sleeping,husband,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,YES,YES,Saab,1
228,42,2000,1197.22,5000000,0,0,8,1,0,0,2007,IN,250/500,MALE,MD,machine-op-inspct,reading,other-relative,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,?,?,Mercedes,1
134,29,2000,1413.14,5000000,35100,0,7,3,2,3,2007,OH,100/300,FEMALE,PhD,sales,board-games,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,NO,Dodge,0
256,41,2000,1415.74,6000000,48900,-62400,5,1,1,2,2014,IL,250/500,FEMALE,PhD,armed-forces,board-games,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,?,NO,Chevrolet,1
228,44,1000,1583.91,6000000,66000,-46000,20,1,0,1,2009,IL,500/1000,MALE,Associate,sales,board-games,unmarried,Vehicle Theft,?,Minor Damage,,NY,Arlington,NO,NO,Accura,0
256,39,1000,1351.1,0,0,0,19,3,0,2,2003,OH,250/500,FEMALE,PhD,tech-support,bungie-jumping,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,NO,NO,Saab,1
137,34,1000,1333.35,0,0,-77000,0,3,0,0,2012,IN,250/500,MALE,PhD,prof-specialty,board-games,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,?,?,Nissan,0
165,37,1000,1137.03,0,0,0,23,3,2,2,2015,IL,100/300,MALE,Associate,tech-support,base-jumping,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,?,YES,Audi,0
27,33,500,1442.99,0,0,0,21,1,1,1,2012,IL,100/300,FEMALE,PhD,other-service,golf,own-child,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,NO,YES,Toyota,0
212,42,500,1315.68,0,0,-39300,14,1,2,1,1996,IL,100/300,MALE,PhD,priv-house-serv,camping,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,NO,?,Saab,0
235,42,500,1253.12,4000000,38400,0,22,1,2,2,2002,OH,100/300,FEMALE,Masters,exec-managerial,dancing,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,YES,?,Ford,0
447,61,2000,1137.16,0,0,-51000,21,3,1,2,2006,OH,100/300,FEMALE,High School,exec-managerial,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,YES,YES,Audi,0
60,23,500,1215.36,3000000,0,0,9,1,1,0,2000,OH,500/1000,MALE,MD,protective-serv,reading,wife,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,YES,NO,Saab,0
121,34,1000,936.61,0,52800,-32800,5,1,1,1,2010,OH,100/300,FEMALE,MD,armed-forces,bungie-jumping,wife,Parked Car,?,Minor Damage,,SC,Springfield,NO,NO,Toyota,0
180,38,2000,1301.13,0,41300,-55500,12,1,0,2,2003,OH,250/500,FEMALE,College,machine-op-inspct,board-games,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,NO,YES,Dodge,1
473,58,2000,1131.4,0,55700,0,12,4,0,0,1999,IN,100/300,FEMALE,MD,transport-moving,movies,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,YES,NO,Accura,1
70,26,1000,1199.44,5000000,63600,0,0,3,1,2,2012,OH,500/1000,MALE,College,machine-op-inspct,hiking,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,?,YES,Nissan,0
140,31,500,708.64,6000000,53500,0,9,1,0,2,2015,IN,500/1000,MALE,High School,machine-op-inspct,reading,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,NO,YES,Suburu,0
160,37,500,1374.22,0,45500,-37800,19,1,1,0,2015,OH,500/1000,FEMALE,MD,craft-repair,yachting,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,YES,NO,Accura,0
