Age,AnnualIncome,FamilyMembers,ChronicDiseases,Employment Type,GraduateOrNot,FrequentFlyer,EverTravelledAbroad,purchase_probability,recommended_contact
25,1150000,4,0,Private Sector/Self Employed,No,No,No,0.2728426683702591,False
34,1500000,4,1,Private Sector/Self Employed,Yes,Yes,Yes,0.9833289095352313,True
33,1500000,3,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9827280658308872,True
28,1150000,3,0,Private Sector/Self Employed,Yes,No,No,0.19546071931014292,False
33,400000,5,1,Government Sector,Yes,No,No,0.261306912512002,False
27,500000,7,0,Government Sector,Yes,No,No,0.13012953640451902,False
33,1400000,8,0,Private Sector/Self Employed,Yes,No,Yes,0.8945903047175321,True
31,950000,3,0,Private Sector/Self Employed,Yes,Yes,No,0.12954730336896353,False
31,300000,6,0,Government Sector,No,No,No,0.06454206273734026,False
27,800000,5,1,Private Sector/Self Employed,No,No,No,0.23383408706142478,False
34,1100000,6,1,Government Sector,Yes,No,No,0.8010835676102696,True
28,1150000,7,0,Private Sector/Self Employed,Yes,No,No,0.17859638116028267,False
32,350000,2,0,Government Sector,Yes,No,No,0.19653368278323025,False
25,1400000,3,1,Private Sector/Self Employed,Yes,No,Yes,0.9080206240414406,True
33,1200000,7,0,Private Sector/Self Employed,Yes,No,No,0.8286577413062077,True
32,800000,3,1,Government Sector,Yes,Yes,No,0.29393347401798364,False
28,1450000,4,0,Private Sector/Self Employed,Yes,Yes,Yes,0.956645254803504,True
29,1350000,7,1,Private Sector/Self Employed,Yes,No,Yes,0.9374682484642827,True
28,500000,8,0,Private Sector/Self Employed,Yes,No,No,0.30026718125698937,False
27,500000,6,0,Government Sector,Yes,No,No,0.09915502553352809,False
33,700000,8,0,Government Sector,Yes,No,No,0.88082733926931,True
27,850000,5,1,Government Sector,Yes,No,No,0.3100406225771914,False
34,700000,4,0,Private Sector/Self Employed,Yes,No,No,0.47789973541005076,False
28,550000,4,1,Private Sector/Self Employed,Yes,No,No,0.3559965920432311,False
34,1000000,3,0,Private Sector/Self Employed,Yes,No,No,0.24140461782158865,False
33,1500000,3,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9827280658308872,True
26,1450000,3,1,Government Sector,Yes,Yes,Yes,0.9251059754346629,True
34,1000000,8,0,Private Sector/Self Employed,Yes,No,No,0.8891964735671016,True
28,1450000,9,0,Private Sector/Self Employed,Yes,Yes,Yes,0.9392062156568305,True
28,1100000,2,1,Private Sector/Self Employed,Yes,No,No,0.41811111822918895,False
28,300000,4,0,Government Sector,Yes,No,No,0.17820132877215245,False
28,1200000,5,0,Private Sector/Self Employed,Yes,No,No,0.278281153732474,False
29,1100000,7,0,Private Sector/Self Employed,Yes,No,No,0.39693812078338425,False
28,800000,4,0,Private Sector/Self Employed,Yes,No,No,0.2782590310267018,False
27,900000,4,0,Government Sector,Yes,No,No,0.24092057501024197,False
34,1300000,4,0,Private Sector/Self Employed,No,No,No,0.4609420858516538,False
27,850000,2,0,Government Sector,Yes,No,Yes,0.42321286514318407,False
34,1050000,4,0,Private Sector/Self Employed,Yes,No,No,0.38502779239348833,False
33,400000,8,0,Government Sector,Yes,No,No,0.7920524521697802,True
29,1050000,2,1,Private Sector/Self Employed,Yes,Yes,No,0.1408520216288025,False
25,750000,3,0,Government Sector,Yes,No,No,0.36716411272367905,False
30,800000,4,0,Private Sector/Self Employed,No,No,No,0.42697587499168804,False
25,1700000,5,0,Private Sector/Self Employed,Yes,Yes,No,0.9594393192978987,True
34,1100000,7,1,Government Sector,Yes,No,No,0.8863036443992088,True
28,1250000,6,0,Private Sector/Self Employed,Yes,No,Yes,0.26356581057402867,False
27,600000,3,0,Private Sector/Self Employed,No,No,Yes,0.30557485161803916,False
31,500000,6,0,Private Sector/Self Employed,Yes,No,No,0.3361631335570971,False
28,800000,5,0,Private Sector/Self Employed,Yes,No,No,0.06986410134480622,False
30,800000,4,0,Private Sector/Self Employed,No,No,No,0.42697587499168804,False
27,900000,4,0,Government Sector,Yes,Yes,No,0.23556410830907062,False
34,1050000,7,0,Private Sector/Self Employed,Yes,No,No,0.8972428970334759,True
28,300000,4,0,Government Sector,Yes,No,No,0.17820132877215245,False
30,650000,7,0,Private Sector/Self Employed,No,No,No,0.1746852792846114,False
28,700000,4,1,Private Sector/Self Employed,Yes,No,No,0.3381942190586182,False
28,800000,7,0,Private Sector/Self Employed,Yes,Yes,No,0.12103401834259658,False
33,550000,4,0,Private Sector/Self Employed,Yes,No,No,0.5696640996385403,True
34,1000000,6,1,Private Sector/Self Employed,Yes,No,No,0.906586050016127,True
34,1300000,6,0,Private Sector/Self Employed,Yes,No,No,0.884444185033017,True
34,1050000,7,1,Private Sector/Self Employed,Yes,No,No,0.8884912406599312,True
29,500000,6,0,Private Sector/Self Employed,Yes,No,No,0.4215463176841839,False
29,1050000,5,1,Private Sector/Self Employed,Yes,No,Yes,0.3087684030852929,False
28,600000,3,0,Government Sector,Yes,Yes,No,0.3259226193416241,False
27,500000,3,1,Government Sector,Yes,No,No,0.27034544408921646,False
34,1300000,6,0,Private Sector/Self Employed,Yes,No,No,0.884444185033017,True
28,650000,5,0,Private Sector/Self Employed,Yes,No,Yes,0.17877749706874646,False
34,1300000,8,0,Government Sector,Yes,No,No,0.8697316244286908,True
35,800000,4,0,Private Sector/Self Employed,No,No,No,0.43840545306239626,False
28,1350000,9,0,Private Sector/Self Employed,Yes,No,Yes,0.9583934797134355,True
28,550000,6,0,Private Sector/Self Employed,No,No,No,0.3070283119957894,False
