order,source,category,status,audience,purpose
1,01_01_client_and_02_insurance_agent_and_04_admin_GK_RF_Chapter_48_selected_current.pdf,normative,active,client,Общие правила договора страхования
2,01_02_client_and_02_insurance_agent_and_04_admin_Law_4015-1_selected_current.pdf,normative,active,client,Основы организации страхового дела
3,01_03_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Insurance_Operations_2026.pdf,regulatory,active,client,Порядок совершения страховых операций
4,01_04_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Consumer_Rights_2024.pdf,regulatory,active,client,Защита прав получателей страховых услуг
5,01_05_client_and_02_insurance_agent_and_04_admin_Consumer_Law_2300-1_selected_current.pdf,normative,active,client,Права потребителя
6,01_06_client_and_02_insurance_agent_and_04_admin_Financial_Ombudsman_123-FZ_selected_current.pdf,normative,active,client,Досудебное обращение к финансовому уполномоченному
7,01_07_client_and_02_insurance_agent_and_04_admin_Personal_Data_152-FZ_selected_current.pdf,normative,active,client,Права субъекта персональных данных
8,01_client_internal_01_01_life_policy.pdf,internal_product,active,client,Условия продукта Жизнь Плюс
9,01_client_internal_02_02_property_policy.pdf,internal_product,active,client,Условия продукта Дом и Квартира
10,01_client_internal_03_03_auto_travel_health.pdf,internal_product,active,client,Условия КАСКО ДМС и туристического страхования
