order,source,category,status,audience,purpose
1,"01_01_client_and_02_insurance_agent_and_04_admin_GK_RF_Chapter_48_selected_current.pdf",normative,active,underwriter,"Договор страхования"
2,"01_02_client_and_02_insurance_agent_and_04_admin_Law_4015-1_selected_current.pdf",normative,active,underwriter,"Организация страхового дела"
3,"01_03_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Insurance_Operations_2026.pdf",regulatory,active,underwriter,"Совершение страховых операций"
4,"01_04_client_and_02_insurance_agent_and_04_admin_CBR_Basic_Standard_Consumer_Rights_2024.pdf",regulatory,active,underwriter,"Защита прав получателей услуг"
5,"01_05_client_and_02_insurance_agent_and_04_admin_Consumer_Law_2300-1_selected_current.pdf",normative,active,underwriter,"Права потребителя"
6,"01_06_client_and_02_insurance_agent_and_04_admin_Financial_Ombudsman_123-FZ_selected_current.pdf",normative,active,underwriter,"Досудебное урегулирование"
7,"01_07_client_and_02_insurance_agent_and_04_admin_Personal_Data_152-FZ_selected_current.pdf",normative,active,underwriter,"Персональные данные"
8,"legal_Федеральный закон от 25.04.2002 N 40-ФЗ (ред. от 31.07.2025, с изм. от 26.05.2026) _Об обязательном страховании .pdf",normative,active,underwriter,"ОСАГО"
9,"underwr_Пленум_ВС_РФ_08-11-2022_N31_ОСАГО.pdf",judicial,active,underwriter,"Судебное толкование ОСАГО"
10,"underwriter_КоАП РФ Ст. 14.8.pdf",normative,active,underwriter,"Нарушение прав потребителей"
11,"underwriter_КоАП РФ Ст. 15.34.1.pdf",normative,active,underwriter,"Необоснованный отказ в публичном страховании"
12,"underwriter_КоАП РФ Ст. 15.34.pdf",normative,active,underwriter,"Нарушение страхового законодательства"
13,"05_underwriter_internal_01_01_auto_risk.pdf",internal_procedure,active,underwriter,"Правила оценки авто-риска"
14,"05_underwriter_internal_02_02_fraud_signals.pdf",internal_procedure,active,underwriter,"Fraud-сигналы и доказательства"
15,"05_underwriter_internal_03_03_motor_underwriting.pdf",internal_procedure,active,underwriter,"Андеррайтинг парка ТС"
16,"05_underwriter_internal_04_04_renewal_underwriting.pdf",internal_procedure,active,underwriter,"Андеррайтинг продлений"
