state,county,year,practiceArea,injuryType,resultType,amount,is_verdict,log_amount,source,description
Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,363000000.0,0,19.709913394983946,News,$363.0 million settlement in a medical malpractice case in Illinois . The plaintiff sustained wrongful death and was awarded damages.
Illinois,,2026,Medical Malpractice,Other,verdict,281000000.0,1,19.45386523085674,News,$281.0 million jury verdict in a medical malpractice case in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Wrongful Death,verdict,241000000.0,1,19.300307495604308,News,$241.0 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.
Illinois,,2026,Premises Liability,Other,verdict,148190997.0,1,18.81401252674116,News,$148.2 million jury verdict in a premises liability case in Illinois . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Other,settlement,145000000.0,0,18.7922443072814,News,$145.0 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Medical Malpractice,Other,settlement,120000000.0,0,18.603002309079653,News,$120.0 million settlement in a medical malpractice case in New York . The plaintiff sustained personal injury and was awarded damages.
New York,,2026,Bicycle Accident,Spinal Cord Injury,verdict,110174972.0,1,18.517580323627627,News,"$110,174,972.38 verdict for a cyclist who was paralyzed by a falling railroad tie during subway maintenance."
Illinois,,2026,Other,Wrongful Death,verdict,79850000.0,1,18.19566044514878,News,$79.8 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Bus Accident,Other,settlement,65000000.0,0,17.989897843244528,News,$65.0 million settlement in a bus accident case in New York . The plaintiff sustained personal injury and was awarded damages.
Illinois,,2026,Other,Wrongful Death,settlement,60700000.0,0,17.921454272504192,News,$60.7 million settlement in Illinois . The plaintiff sustained wrongful death and was awarded damages.
New York,,2026,Other,Burns,verdict,60000000.0,1,17.909855136853043,News,Stroke treatment delay leads to biggest ever malpractice verdict in Westchester NY's High Court Widens Path for Emotional Distress Claim for Family Members Who Lost 2-Year-Old to Falling Debris | New York Law Journal $60 Million Awarded to N.Y. Student Engulfed in Flames in Chemistry Accident Beacon.
New York,,2026,Other,Other,settlement,56000000.0,0,17.840862266556567,News,Other settlement of $56 million in New York.
New York,,2026,Workplace Injury,Spinal Cord Injury,verdict,53500000.0,1,17.795192230557824,News,"$53,500,000 verdict in a Brooklyn case for a 43-year-old worker who suffered paralysis after a work site accident."
